er,time
,2016-12-17
"1,170.78",2016-12-16
"1,169.99",2016-12-15
"1,151.67",2016-12-14
"1,152.07",2016-12-13
"1,162.17",2016-12-12
,2016-12-11
,2016-12-10
"1,153.06",2016-12-09
"1,148.40",2016-12-08
"1,159.59",2016-12-07
"1,155.53",2016-12-06
"1,162.96",2016-12-05
,2016-12-04
,2016-12-03
"1,154.64",2016-12-02
"1,164.74",2016-12-01
"1,154.84",2016-11-30
"1,156.62",2016-11-29
"1,161.27",2016-11-28
,2016-11-27
,2016-11-26
"1,167.71",2016-11-25
"1,171.37",2016-11-24
"1,162.17",2016-11-23
"1,164.64",2016-11-22
"1,169.89",2016-11-21
,2016-11-20
,2016-11-19
"1,170.78",2016-11-18
"1,158.11",2016-11-17
"1,155.14",2016-11-16
"1,154.25",2016-11-15
"1,156.92",2016-11-14
,2016-11-13
,2016-11-12
"1,152.56",2016-11-11
"1,142.96",2016-11-10
"1,119.40",2016-11-09
"1,129.20",2016-11-08
"1,129",2016-11-07
,2016-11-06
,2016-11-05
"1,132.27",2016-11-04
"1,133.65",2016-11-03
"1,135.53",2016-11-02
"1,133.06",2016-11-01
"1,136.23",2016-10-31
,2016-10-30
,2016-10-29
"1,134.64",2016-10-28
"1,126.53",2016-10-27
"1,119.79",2016-10-26
"1,124.84",2016-10-25
"1,123.46",2016-10-24
,2016-10-23
,2016-10-22
"1,120.49",2016-10-21
"1,108.41",2016-10-20
"1,112.67",2016-10-19
"1,121.97",2016-10-18
"1,126.82",2016-10-17
,2016-10-16
,2016-10-15
"1,121.38",2016-10-14
"1,115.24",2016-10-13
"1,112.76",2016-10-12
"1,101.48",2016-10-11
"1,101.78",2016-10-10
,2016-10-09
,2016-10-08
"1,103.46",2016-10-07
"1,100.29",2016-10-06
"1,103.56",2016-10-05
"1,093.56",2016-10-04
,2016-10-03
,2016-10-02
,2016-10-01
"1,093.46",2016-09-30
"1,081.68",2016-09-29
"1,086.23",2016-09-28
"1,100.69",2016-09-27
"1,093.46",2016-09-26
,2016-09-25
,2016-09-24
