기간,Dubai,Brent,WTI
11년03월15일,105.82,108.52,97.18
11년03월16일,104.19,110.62,97.98
11년03월17일,106.10,114.90,101.42
11년03월18일,110.11,113.93,101.07
11년03월21일,108.75,114.96,102.33
11년03월22일,108.44,115.70,104.00
11년03월23일,109.65,115.55,105.75
11년03월24일,109.42,115.72,105.60
11년03월25일,109.41,115.59,105.40
11년03월28일,108.66,114.80,103.98
11년03월29일,107.92,115.16,104.79
11년03월30일,108.72,115.13,104.27
11년03월31일,109.40,117.36,106.72
11년04월01일,111.08,118.70,107.94
11년04월04일,112.70,121.06,108.47
11년04월05일,113.54,122.22,108.34
11년04월06일,115.05,122.30,108.83
11년04월07일,115.22,122.67,110.30
11년04월08일,116.86,126.65,112.79
11년04월11일,118.32,123.98,109.92
11년04월12일,116.22,120.92,106.25
